City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Current Description
0,Codrington,-38.2667,141.9667,63.12,44,0,14.05,AU,2021-12-05 01:56:45,clear sky
1,Albany,42.6001,-73.9662,38.68,74,51,8.86,US,2021-12-05 01:52:01,broken clouds
2,Hilo,19.7297,-155.09,70.25,96,90,3.44,US,2021-12-05 01:56:45,light rain
3,Port Alfred,-33.5906,26.891,67.68,94,100,26.44,ZA,2021-12-05 01:56:46,light rain
4,Hobart,-42.8794,147.3294,73.02,48,40,1.99,AU,2021-12-05 01:53:25,scattered clouds
5,Cherskiy,68.75,161.3,-38.2,100,73,3.33,RU,2021-12-05 01:56:47,broken clouds
6,Yerbogachen,61.2767,108.0108,2.84,81,100,14.56,RU,2021-12-05 01:56:47,overcast clouds
7,Tezu,27.9167,96.1667,70.97,46,18,0.36,IN,2021-12-05 01:56:48,few clouds
8,Tuktoyaktuk,69.4541,-133.0374,-23.8,69,1,6.91,CA,2021-12-05 01:56:48,clear sky
9,Mahebourg,-20.4081,57.7,77.29,83,75,9.22,MU,2021-12-05 01:56:49,broken clouds
10,Pevek,69.7008,170.3133,-27.69,100,32,2.75,RU,2021-12-05 01:56:49,scattered clouds
11,Mataura,-46.1927,168.8643,51.48,99,100,5.99,NZ,2021-12-05 01:56:50,light rain
12,Rikitea,-23.1203,-134.9692,76.23,71,87,10.11,PF,2021-12-05 01:56:50,overcast clouds
13,Bambous Virieux,-20.3428,57.7575,77.25,83,75,9.22,MU,2021-12-05 01:56:51,broken clouds
14,Katangli,51.7102,143.2326,13.21,83,62,13.6,RU,2021-12-05 01:56:51,broken clouds
15,Thompson,55.7435,-97.8558,-11.04,84,40,3.44,CA,2021-12-05 01:56:52,scattered clouds
16,Tenenkou,14.4572,-4.9169,73.49,16,94,9.95,ML,2021-12-05 01:56:52,overcast clouds
17,Busselton,-33.65,115.3333,77.04,33,14,9.42,AU,2021-12-05 01:56:53,few clouds
18,New Norfolk,-42.7826,147.0587,72.66,31,0,3.0,AU,2021-12-05 01:56:53,clear sky
19,Punta Arenas,-53.15,-70.9167,48.31,57,20,12.66,CL,2021-12-05 01:56:54,few clouds
20,Puerto Ayora,-0.7393,-90.3518,68.56,91,43,5.44,EC,2021-12-05 01:56:55,scattered clouds
21,Ericeira,38.9627,-9.4156,55.35,96,11,17.54,PT,2021-12-05 01:56:55,few clouds
22,Cape Town,-33.9258,18.4232,62.28,90,90,5.01,ZA,2021-12-05 01:52:46,light rain
23,Cabo San Lucas,22.8909,-109.9124,78.51,73,99,7.4,MX,2021-12-05 01:56:56,overcast clouds
24,Sidney,-33.8679,151.2073,66.61,73,75,3.0,AU,2021-12-05 01:53:17,broken clouds
25,Ushuaia,-54.8,-68.3,47.86,53,40,23.02,AR,2021-12-05 01:56:56,scattered clouds
26,Atuona,-9.8,-139.0333,78.76,73,4,16.46,PF,2021-12-05 01:56:57,clear sky
27,Cayenne,4.9333,-52.3333,75.24,92,75,0.0,GF,2021-12-05 01:56:57,light rain
28,Qaanaaq,77.484,-69.3632,1.87,65,93,8.66,GL,2021-12-05 01:56:58,overcast clouds
29,Saint-Philippe,-21.3585,55.7679,76.59,83,39,13.09,RE,2021-12-05 01:56:58,scattered clouds
30,Pundaguitan,6.3711,126.1689,81.39,75,91,6.85,PH,2021-12-05 01:56:59,overcast clouds
31,Saint George,37.1041,-113.5841,57.54,35,0,1.01,US,2021-12-05 01:56:59,clear sky
32,Dobre Miasto,53.9867,20.3975,30.88,94,100,4.0,PL,2021-12-05 01:57:00,overcast clouds
33,Ketchikan,55.3422,-131.6461,27.16,86,46,4.43,US,2021-12-05 01:54:39,scattered clouds
34,Hamilton,39.1834,-84.5333,43.41,65,0,5.57,US,2021-12-05 01:56:42,clear sky
35,Dikson,73.5069,80.5464,-14.55,98,100,18.54,RU,2021-12-05 01:57:01,overcast clouds
36,Flinders,-34.5833,150.8552,66.18,71,92,12.26,AU,2021-12-05 01:57:01,overcast clouds
37,Bengkulu,-3.8004,102.2655,76.77,86,100,5.66,ID,2021-12-05 01:57:02,overcast clouds
38,Tilichiki,60.4667,166.1,5.22,94,100,10.98,RU,2021-12-05 01:57:03,overcast clouds
39,Hithadhoo,-0.6,73.0833,81.43,80,67,13.2,MV,2021-12-05 01:57:04,broken clouds
40,Hambantota,6.1241,81.1185,75.54,100,45,3.44,LK,2021-12-05 01:57:04,fog
41,Christchurch,-43.5333,172.6333,79.0,50,90,5.01,NZ,2021-12-05 01:56:09,overcast clouds
42,Vaini,-21.2,-175.2,84.36,74,75,10.36,TO,2021-12-05 01:57:05,broken clouds
43,Georgetown,5.4112,100.3354,81.9,77,20,8.99,MY,2021-12-05 01:52:56,few clouds
44,Clonakilty,51.6231,-8.8706,40.21,68,2,16.51,IE,2021-12-05 01:56:14,light rain
45,Butaritari,3.0707,172.7902,83.21,78,100,20.62,KI,2021-12-05 01:57:06,overcast clouds
46,Carnarvon,-24.8667,113.6333,78.87,73,0,5.75,AU,2021-12-05 01:58:06,clear sky
47,Hasaki,35.7333,140.8333,50.29,54,7,15.68,JP,2021-12-05 01:58:07,clear sky
48,Norman Wells,65.282,-126.8329,-41.76,66,20,3.44,CA,2021-12-05 01:58:07,few clouds
49,Karratha,-20.7377,116.8463,102.85,18,58,14.27,AU,2021-12-05 01:58:08,broken clouds
50,Talnakh,69.4865,88.3972,-30.8,99,100,5.93,RU,2021-12-05 01:58:08,overcast clouds
51,Adrar,20.5022,-10.0711,63.05,20,100,11.1,MR,2021-12-05 01:58:08,overcast clouds
52,Bluff,-46.6,168.3333,51.8,80,100,10.85,NZ,2021-12-05 01:58:09,overcast clouds
53,Aragarcas,-15.8975,-52.2508,75.74,84,70,2.06,BR,2021-12-05 01:58:09,broken clouds
