City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Saint George,US,2021-11-28 21:59:59,37.1041,-113.5841,77.47,18,0,0.81
1,Mackay,AU,2021-11-28 21:57:58,-21.15,149.2,73.38,94,90,6.91
2,Puerto Ayora,EC,2021-11-28 21:59:59,-0.7393,-90.3518,76.96,81,83,10.36
3,Ocos,GT,2021-11-28 22:00:00,14.5094,-92.1933,91.9,71,40,6.4
4,Jalu,LY,2021-11-28 22:00:00,29.0331,21.5482,75.25,21,100,11.9
5,Albany,US,2021-11-28 21:59:57,42.6001,-73.9662,29.01,92,86,1.83
6,Tilichiki,RU,2021-11-28 22:00:01,60.4667,166.1,24.69,88,100,13.22
7,Praia Da Vitoria,PT,2021-11-28 22:00:01,38.7333,-27.0667,60.22,60,100,3.13
8,Atuona,PF,2021-11-28 22:00:01,-9.8,-139.0333,78.53,71,1,17.65
9,Port Alfred,ZA,2021-11-28 22:00:02,-33.5906,26.891,65.73,81,11,11.18
10,Khatanga,RU,2021-11-28 22:00:02,71.9667,102.5,-8.05,98,100,9.31
11,Bambous Virieux,MU,2021-11-28 21:58:43,-20.3428,57.7575,73.65,83,20,3.44
12,Asosa,ET,2021-11-28 22:00:03,10.0667,34.5333,70.32,44,50,3.47
13,Ushuaia,AR,2021-11-28 22:00:04,-54.8,-68.3,44.92,72,58,9.93
14,Yekaterinoslavka,RU,2021-11-28 22:00:04,50.3734,129.1139,4.69,90,83,9.28
15,Busselton,AU,2021-11-28 22:00:05,-33.65,115.3333,63.28,74,48,7.38
16,Hilo,US,2021-11-28 21:56:54,19.7297,-155.09,77.76,71,14,13.11
17,Saint-Philippe,RE,2021-11-28 22:00:07,-21.3585,55.7679,74.79,83,45,3.56
18,Saint-Denis,FR,2021-11-28 22:00:07,48.9167,2.3333,36.16,86,0,5.75
19,Mareeba,AU,2021-11-28 22:00:08,-17.0,145.4333,72.32,71,31,4.38
20,Kapaa,US,2021-11-28 21:56:41,22.0752,-159.319,77.45,68,5,13.47
21,Bonavista,CA,2021-11-28 22:00:08,48.6499,-53.1147,43.12,80,10,14.52
22,Suntar,RU,2021-11-28 22:00:09,62.1444,117.6319,-5.31,100,96,1.99
23,Muret,FR,2021-11-28 22:00:09,43.3333,1.25,38.64,93,65,13.29
24,Velikooktyabrskiy,RU,2021-11-28 22:00:10,57.4333,33.8159,31.55,97,100,2.77
25,Hobart,AU,2021-11-28 22:00:10,-42.8794,147.3294,57.06,72,0,8.05
26,Dolores,AR,2021-11-28 22:00:03,-36.3132,-57.6792,64.24,88,100,7.67
27,Paamiut,GL,2021-11-28 21:55:28,61.994,-49.6678,38.08,91,100,24.47
28,Mar Del Plata,AR,2021-11-28 21:55:54,-38.0023,-57.5575,64.42,94,90,11.5
29,Tuktoyaktuk,CA,2021-11-28 22:00:11,69.4541,-133.0374,-6.14,94,100,15.28
30,Mataura,NZ,2021-11-28 22:00:11,-46.1927,168.8643,63.18,39,75,4.5
31,Bamora,IN,2021-11-28 22:00:12,24.0552,78.0909,60.69,44,54,4.14
32,Port-Gentil,GA,2021-11-28 22:00:12,-0.7193,8.7815,80.28,79,95,9.35
33,Jamestown,US,2021-11-28 21:59:58,42.097,-79.2353,31.64,93,90,12.66
34,Coihaique,CL,2021-11-28 22:00:13,-45.5752,-72.0662,56.01,94,100,8.34
35,Ostrovnoy,RU,2021-11-28 22:00:13,68.0531,39.5131,14.95,84,100,8.81
36,Cabo San Lucas,MX,2021-11-28 21:58:47,22.8909,-109.9124,75.25,69,100,6.51
37,Cap-Aux-Meules,CA,2021-11-28 22:00:14,47.3821,-61.8597,32.05,69,90,17.27
38,Pervomayskiy,RU,2021-11-28 22:00:14,53.2485,40.2871,38.23,96,100,6.73
39,Punta Arenas,CL,2021-11-28 21:59:05,-53.15,-70.9167,46.51,66,75,25.32
40,Zhigansk,RU,2021-11-28 22:00:14,66.7697,123.3711,-7.4,99,100,5.68
41,Rikitea,PF,2021-11-28 22:00:15,-23.1203,-134.9692,77.07,73,9,16.75
42,Nanortalik,GL,2021-11-28 22:00:15,60.1432,-45.2371,40.59,95,100,12.5
43,Patrocinio,BR,2021-11-28 22:00:16,-18.9439,-46.9925,70.11,79,51,1.88
44,Leh,IN,2021-11-28 22:00:16,34.1667,77.5833,13.87,65,0,2.33
45,East London,ZA,2021-11-28 22:00:17,-33.0153,27.9116,67.96,73,21,6.71
46,Kruisfontein,ZA,2021-11-28 22:00:17,-34.0033,24.7314,62.69,78,3,16.75
47,Chuy,UY,2021-11-28 21:59:49,-33.6971,-53.4616,65.52,97,100,6.06
48,New Norfolk,AU,2021-11-28 22:01:18,-42.7826,147.0587,56.7,60,67,1.52
49,Fertoszentmiklos,HU,2021-11-28 22:01:18,47.59,16.8752,37.44,77,100,14.58
50,Bluff,NZ,2021-11-28 22:01:18,-46.6,168.3333,56.62,68,54,20.4
51,Provideniya,RU,2021-11-28 22:01:19,64.3833,-173.3,-5.69,59,0,6.71
52,Tasiilaq,GL,2021-11-28 22:01:19,65.6145,-37.6368,26.76,96,97,3.6
